name,type,maxLevel,league,tier,level,partsForUpgrade,softForUpgrade,timeForUpgrade,allPartOnLevel,bonusHealth,bonusStrength,bonusDefense,bonusPenetration,passive
,,,,,3,2,3000,0,3,158,32,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,4,4,3500,0,7,171,34,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,5,6,4000,0,13,183,37,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,6,8,4500,0,21,195,39,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,7,10,5000,0,31,207,41,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,8,12,5500,0,43,219,44,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,9,14,6000,0,57,232,46,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,10,16,7000,0,73,244,49,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,11,20,8000,0,93,256,51,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,12,25,9000,0,118,268,54,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,13,30,10000,0,148,280,56,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,14,35,11000,0,183,293,59,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,15,40,12000,0,223,305,61,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,16,45,13000,0,268,317,63,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,17,50,14000,0,318,329,66,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,18,55,15000,0,373,341,68,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,19,60,16000,0,433,353,71,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,20,70,17500,0,503,366,73,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,21,80,20000,0,583,378,76,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,22,90,22500,0,673,390,78,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,23,100,25000,0,773,402,80,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,24,110,27500,0,883,414,83,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,25,120,30000,0,1003,427,85,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,26,130,32500,0,1133,439,88,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,27,140,35000,0,1273,451,90,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,28,150,37500,0,1423,463,93,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,29,160,40000,0,1583,475,95,,,Уменьшает длительность всех эффектов контроля на Х%
,,,,,30,175,45000,0,1758,488,98,,,Уменьшает длительность всех эффектов контроля на Х%
"Шлем 3, тир 2",HELMET,30,6,2,1,,,,,134,,27,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,2,1,2500,0,1,146,,29,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,3,2,3000,0,3,158,,32,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,4,4,3500,0,7,171,,34,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,5,6,4000,0,13,183,,37,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,6,8,4500,0,21,195,,39,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,7,10,5000,0,31,207,,41,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,8,12,5500,0,43,219,,44,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,9,14,6000,0,57,232,,46,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,10,16,7000,0,73,244,,49,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,11,20,8000,0,93,256,,51,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,12,25,9000,0,118,268,,54,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,13,30,10000,0,148,280,,56,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,14,35,11000,0,183,293,,59,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,15,40,12000,0,223,305,,61,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,16,45,13000,0,268,317,,63,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,17,50,14000,0,318,329,,66,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,18,55,15000,0,373,341,,68,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,19,60,16000,0,433,353,,71,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,20,70,17500,0,503,366,,73,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,21,80,20000,0,583,378,,76,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,22,90,22500,0,673,390,,78,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,23,100,25000,0,773,402,,80,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,24,110,27500,0,883,414,,83,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,25,120,30000,0,1003,427,,85,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,26,130,32500,0,1133,439,,88,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,27,140,35000,0,1273,451,,90,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,28,150,37500,0,1423,463,,93,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,29,160,40000,0,1583,475,,95,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
,,,,,30,175,45000,0,1758,488,,98,,Каждые 2 секунды игрок получает щит на Х% здоровья от максимума вплоть до максимума в Y% здоровья от максимума
"Шлем 1, тир 3",HELMET,20,5,3,1,,,,,276,55,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,2,1,9000,0,1,289,58,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,3,2,10000,0,3,302,60,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,4,4,11000,0,7,315,63,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,5,6,12000,0,13,328,66,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,6,8,13000,0,21,341,68,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,7,10,14000,0,31,354,71,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,8,12,15000,0,43,368,74,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,9,14,16000,0,57,381,76,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,10,16,17500,0,73,394,79,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,11,20,20000,0,93,407,81,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,12,25,22500,0,118,420,84,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,13,30,25000,0,148,433,87,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,14,35,27500,0,183,446,89,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,15,40,30000,0,223,459,92,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,16,45,32500,0,268,473,95,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,17,50,35000,0,318,486,97,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,18,55,37500,0,373,499,100,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,19,60,40000,0,433,512,102,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
,,,,,20,70,45000,0,503,525,105,,,При получении урона вешает на себя щит на Х% от максимума здоровья на 3 секунды. Кулдаун
"Шлем 2, тир 3",HELMET,20,6,3,1,,,,,276,,55,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,2,1,9000,0,1,289,,58,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,3,2,10000,0,3,302,,60,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,4,4,11000,0,7,315,,63,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,5,6,12000,0,13,328,,66,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,6,8,13000,0,21,341,,68,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,7,10,14000,0,31,354,,71,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,8,12,15000,0,43,368,,74,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,9,14,16000,0,57,381,,76,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,10,16,17500,0,73,394,,79,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,11,20,20000,0,93,407,,81,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,12,25,22500,0,118,420,,84,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,13,30,25000,0,148,433,,87,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,14,35,27500,0,183,446,,89,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,15,40,30000,0,223,459,,92,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,16,45,32500,0,268,473,,95,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,17,50,35000,0,318,486,,97,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,18,55,37500,0,373,499,,100,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,19,60,40000,0,433,512,,102,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
,,,,,20,70,45000,0,503,525,,105,,При получении урона включает реген в размере Х% от максимума здоровья в секунду.
"Шлем 2, тир 4",HELMET,10,7,4,1,,,,,349,70,70,,При получении смертельного урона персонаж становится неуязвимым и получает реген на Х% на 3 секунды. Одноразовый
,,,,,2,1,22500,0,1,360,72,72,,При получении смертельного урона персонаж становится неуязвимым и получает реген на Х% на 3 секунды. Одноразовый
,,,,,3,2,25000,0,3,371,74,74,,При получении смертельного урона персонаж становится неуязвимым и получает реген на Х% на 3 секунды. Одноразовый
,,,,,4,4,27500,0,7,383,77,77,,При получении смертельного урона персонаж становится неуязвимым и получает реген на Х% на 3 секунды. Одноразовый
,,,,,5,6,30000,0,13,394,79,79,,При получении смертельного урона персонаж становится неуязвимым и получает реген на Х% на 3 секунды. Одноразовый
,,,,,6,8,32500,0,21,405,81,81,,При получении смертельного урона персонаж становится неуязвимым и получает реген на Х% на 3 секунды. Одноразовый
,,,,,7,10,35000,0,31,416,83,83,,При получении смертельного урона персонаж становится неуязвимым и получает реген на Х% на 3 секунды. Одноразовый
,,,,,8,12,37500,0,43,428,86,86,,При получении смертельного урона персонаж становится неуязвимым и получает реген на Х% на 3 секунды. Одноразовый
,,,,,9,14,40000,0,57,439,88,88,,При получении смертельного урона персонаж становится неуязвимым и получает реген на Х% на 3 секунды. Одноразовый
,,,,,10,16,45000,0,73,450,90,90,,При получении смертельного урона персонаж становится неуязвимым и получает реген на Х% на 3 секунды. Одноразовый
"Броня 1, тир 1",ARMOR,40,2,1,1,,,,,,,9,,
,,,,,2,1,100,0,1,,,18,,
,,,,,3,2,200,0,3,,,27,,
,,,,,4,4,400,0,7,,,36,,
,,,,,5,6,600,0,13,,,45,,
,,,,,6,8,800,0,21,,,54,,
,,,,,7,10,1000,0,31,,,63,,
,,,,,8,12,1200,0,43,,,72,,
,,,,,9,14,1400,0,57,,,81,,
,,,,,10,16,1600,0,73,,,90,,
,,,,,11,20,2000,0,93,,,99,,
,,,,,12,25,2500,0,118,,,108,,
,,,,,13,30,3000,0,148,,,117,,
,,,,,14,35,3500,0,183,,,126,,
,,,,,15,40,4000,0,223,,,135,,
,,,,,16,45,4500,0,268,,,144,,
,,,,,17,50,5000,0,318,,,153,,
,,,,,18,55,5500,0,373,,,162,,
,,,,,19,60,6000,0,433,,,171,,
,,,,,20,70,7000,0,503,,,180,,
,,,,,21,80,8000,0,583,,,189,,
,,,,,22,90,9000,0,673,,,198,,
,,,,,23,100,10000,0,773,,,207,,
,,,,,24,110,11000,0,883,,,216,,
,,,,,25,120,12000,0,1003,,,225,,
,,,,,26,130,13000,0,1133,,,234,,
,,,,,27,140,14000,0,1273,,,243,,
,,,,,28,150,15000,0,1423,,,252,,
,,,,,29,160,16000,0,1583,,,261,,
,,,,,30,175,17500,0,1758,,,270,,
,,,,,31,200,20000,0,1958,,,279,,
,,,,,32,225,22500,0,2183,,,288,,
,,,,,33,250,25000,0,2433,,,297,,
,,,,,34,275,27500,0,2708,,,306,,
,,,,,35,300,30000,0,3008,,,315,,
,,,,,36,325,32500,0,3333,,,324,,
,,,,,37,350,35000,0,3683,,,333,,
,,,,,38,375,37500,0,4058,,,342,,
,,,,,39,400,40000,0,4458,,,351,,
,,,,,40,450,45000,0,4908,,,360,,
"Броня 2, тир 1",ARMOR,40,2,1,1,,,,,,,7,2,
,,,,,2,1,100,0,1,,,14,5,
,,,,,3,2,200,0,3,,,20,7,
,,,,,4,4,400,0,7,,,27,9,
,,,,,5,6,600,0,13,,,34,11,
,,,,,6,8,800,0,21,,,41,14,
,,,,,7,10,1000,0,31,,,47,16,
,,,,,8,12,1200,0,43,,,54,18,
,,,,,9,14,1400,0,57,,,61,20,
,,,,,10,16,1600,0,73,,,68,23,
,,,,,11,20,2000,0,93,,,74,25,
,,,,,12,25,2500,0,118,,,81,27,
,,,,,13,30,3000,0,148,,,88,29,
,,,,,14,35,3500,0,183,,,95,32,
,,,,,15,40,4000,0,223,,,101,34,
,,,,,16,45,4500,0,268,,,108,36,
,,,,,17,50,5000,0,318,,,115,38,
,,,,,18,55,5500,0,373,,,122,41,
,,,,,19,60,6000,0,433,,,128,43,
,,,,,20,70,7000,0,503,,,135,45,
,,,,,21,80,8000,0,583,,,142,47,
,,,,,22,90,9000,0,673,,,149,50,
,,,,,23,100,10000,0,773,,,155,52,
,,,,,24,110,11000,0,883,,,162,54,
,,,,,25,120,12000,0,1003,,,169,56,
,,,,,26,130,13000,0,1133,,,176,59,
,,,,,27,140,14000,0,1273,,,182,61,
,,,,,28,150,15000,0,1423,,,189,63,
,,,,,29,160,16000,0,1583,,,196,65,
,,,,,30,175,17500,0,1758,,,203,68,
,,,,,31,200,20000,0,1958,,,209,70,
,,,,,32,225,22500,0,2183,,,216,72,
,,,,,33,250,25000,0,2433,,,223,74,
,,,,,34,275,27500,0,2708,,,230,77,
,,,,,35,300,30000,0,3008,,,236,79,
,,,,,36,325,32500,0,3333,,,243,81,
,,,,,37,350,35000,0,3683,,,250,83,
,,,,,38,375,37500,0,4058,,,257,86,
,,,,,39,400,40000,0,4458,,,263,88,
,,,,,40,450,45000,0,4908,,,270,90,
"Броня 3, тир 1",ARMOR,40,2,1,1,,,,,4,,7,,
,,,,,2,1,100,0,1,8,,14,,
,,,,,3,2,200,0,3,11,,20,,
,,,,,4,4,400,0,7,15,,27,,
,,,,,5,6,600,0,13,19,,34,,
,,,,,6,8,800,0,21,23,,41,,
,,,,,7,10,1000,0,31,26,,47,,
,,,,,8,12,1200,0,43,30,,54,,
,,,,,9,14,1400,0,57,34,,61,,
,,,,,10,16,1600,0,73,38,,68,,
,,,,,11,20,2000,0,93,41,,74,,
,,,,,12,25,2500,0,118,45,,81,,
,,,,,13,30,3000,0,148,49,,88,,
,,,,,14,35,3500,0,183,53,,95,,
,,,,,15,40,4000,0,223,56,,101,,
,,,,,16,45,4500,0,268,60,,108,,
,,,,,17,50,5000,0,318,64,,115,,
,,,,,18,55,5500,0,373,68,,122,,
,,,,,19,60,6000,0,433,71,,128,,
,,,,,20,70,7000,0,503,75,,135,,
,,,,,21,80,8000,0,583,79,,142,,
,,,,,22,90,9000,0,673,83,,149,,
,,,,,23,100,10000,0,773,86,,155,,
,,,,,24,110,11000,0,883,90,,162,,
,,,,,25,120,12000,0,1003,94,,169,,
,,,,,26,130,13000,0,1133,98,,176,,
,,,,,27,140,14000,0,1273,101,,182,,
,,,,,28,150,15000,0,1423,105,,189,,
,,,,,29,160,16000,0,1583,109,,196,,
,,,,,30,175,17500,0,1758,113,,203,,
,,,,,31,200,20000,0,1958,116,,209,,
,,,,,32,225,22500,0,2183,120,,216,,
,,,,,33,250,25000,0,2433,124,,223,,
,,,,,34,275,27500,0,2708,128,,230,,
,,,,,35,300,30000,0,3008,131,,236,,
,,,,,36,325,32500,0,3333,135,,243,,
,,,,,37,350,35000,0,3683,139,,250,,
,,,,,38,375,37500,0,4058,143,,257,,
,,,,,39,400,40000,0,4458,146,,263,,
,,,,,40,450,45000,0,4908,150,,270,,
"Броня 1, тир 2",ARMOR,30,2,2,1,,,,,,,107,,-Х% КДР
,,,,,2,1,2500,0,1,,,117,,-Х% КДР
,,,,,3,2,3000,0,3,,,127,,-Х% КДР
,,,,,4,4,3500,0,7,,,137,,-Х% КДР
,,,,,5,6,4000,0,13,,,146,,-Х% КДР
,,,,,6,8,4500,0,21,,,156,,-Х% КДР
,,,,,7,10,5000,0,31,,,166,,-Х% КДР
,,,,,8,12,5500,0,43,,,176,,-Х% КДР
,,,,,9,14,6000,0,57,,,185,,-Х% КДР
,,,,,10,16,7000,0,73,,,195,,-Х% КДР
,,,,,11,20,8000,0,93,,,205,,-Х% КДР
,,,,,12,25,9000,0,118,,,215,,-Х% КДР
,,,,,13,30,10000,0,148,,,224,,-Х% КДР
,,,,,14,35,11000,0,183,,,234,,-Х% КДР
,,,,,15,40,12000,0,223,,,244,,-Х% КДР
,,,,,16,45,13000,0,268,,,254,,-Х% КДР
,,,,,17,50,14000,0,318,,,263,,-Х% КДР
,,,,,18,55,15000,0,373,,,273,,-Х% КДР
,,,,,19,60,16000,0,433,,,283,,-Х% КДР
,,,,,20,70,17500,0,503,,,293,,-Х% КДР
,,,,,21,80,20000,0,583,,,302,,-Х% КДР
,,,,,22,90,22500,0,673,,,312,,-Х% КДР
,,,,,23,100,25000,0,773,,,322,,-Х% КДР
,,,,,24,110,27500,0,883,,,332,,-Х% КДР
,,,,,25,120,30000,0,1003,,,341,,-Х% КДР
,,,,,26,130,32500,0,1133,,,351,,-Х% КДР
,,,,,27,140,35000,0,1273,,,361,,-Х% КДР
,,,,,28,150,37500,0,1423,,,371,,-Х% КДР
,,,,,29,160,40000,0,1583,,,380,,-Х% КДР
,,,,,30,175,45000,0,1758,,,390,,-Х% КДР
"Броня 2, тир 2",ARMOR,30,3,2,1,,,,,,,80,27,Снижает защиту на X% всем противникам в радиусе
,,,,,2,1,2500,0,1,,,88,29,Снижает защиту на X% всем противникам в радиусе
,,,,,3,2,3000,0,3,,,95,32,Снижает защиту на X% всем противникам в радиусе
,,,,,4,4,3500,0,7,,,102,34,Снижает защиту на X% всем противникам в радиусе
,,,,,5,6,4000,0,13,,,110,37,Снижает защиту на X% всем противникам в радиусе
,,,,,6,8,4500,0,21,,,117,39,Снижает защиту на X% всем противникам в радиусе
,,,,,7,10,5000,0,31,,,124,41,Снижает защиту на X% всем противникам в радиусе
,,,,,8,12,5500,0,43,,,132,44,Снижает защиту на X% всем противникам в радиусе
,,,,,9,14,6000,0,57,,,139,46,Снижает защиту на X% всем противникам в радиусе
,,,,,10,16,7000,0,73,,,146,49,Снижает защиту на X% всем противникам в радиусе
,,,,,11,20,8000,0,93,,,154,51,Снижает защиту на X% всем противникам в радиусе
,,,,,12,25,9000,0,118,,,161,54,Снижает защиту на X% всем противникам в радиусе
,,,,,13,30,10000,0,148,,,168,56,Снижает защиту на X% всем противникам в радиусе
,,,,,14,35,11000,0,183,,,176,59,Снижает защиту на X% всем противникам в радиусе
,,,,,15,40,12000,0,223,,,183,61,Снижает защиту на X% всем противникам в радиусе
,,,,,16,45,13000,0,268,,,190,63,Снижает защиту на X% всем противникам в радиусе
,,,,,17,50,14000,0,318,,,197,66,Снижает защиту на X% всем противникам в радиусе
,,,,,18,55,15000,0,373,,,205,68,Снижает защиту на X% всем противникам в радиусе
,,,,,19,60,16000,0,433,,,212,71,Снижает защиту на X% всем противникам в радиусе
,,,,,20,70,17500,0,503,,,219,73,Снижает защиту на X% всем противникам в радиусе
,,,,,21,80,20000,0,583,,,227,76,Снижает защиту на X% всем противникам в радиусе
,,,,,22,90,22500,0,673,,,234,78,Снижает защиту на X% всем противникам в радиусе
,,,,,23,100,25000,0,773,,,241,80,Снижает защиту на X% всем противникам в радиусе
,,,,,24,110,27500,0,883,,,249,83,Снижает защиту на X% всем противникам в радиусе
,,,,,25,120,30000,0,1003,,,256,85,Снижает защиту на X% всем противникам в радиусе
,,,,,26,130,32500,0,1133,,,263,88,Снижает защиту на X% всем противникам в радиусе
,,,,,27,140,35000,0,1273,,,271,90,Снижает защиту на X% всем противникам в радиусе
,,,,,28,150,37500,0,1423,,,278,93,Снижает защиту на X% всем противникам в радиусе
,,,,,29,160,40000,0,1583,,,285,95,Снижает защиту на X% всем противникам в радиусе
,,,,,30,175,45000,0,1758,,,293,98,Снижает защиту на X% всем противникам в радиусе
"Броня 3, тир 2",ARMOR,30,4,2,1,,,,,45,,80,,Применение заклинания повышает защиту на Х% на Y секунд
,,,,,2,1,2500,0,1,49,,88,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,3,2,3000,0,3,53,,95,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,4,4,3500,0,7,57,,102,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,5,6,4000,0,13,61,,110,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,6,8,4500,0,21,65,,117,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,7,10,5000,0,31,69,,124,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,8,12,5500,0,43,73,,132,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,9,14,6000,0,57,77,,139,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,10,16,7000,0,73,81,,146,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,11,20,8000,0,93,85,,154,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,12,25,9000,0,118,89,,161,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,13,30,10000,0,148,93,,168,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,14,35,11000,0,183,98,,176,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,15,40,12000,0,223,102,,183,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,16,45,13000,0,268,106,,190,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,17,50,14000,0,318,110,,197,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,18,55,15000,0,373,114,,205,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,19,60,16000,0,433,118,,212,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,20,70,17500,0,503,122,,219,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,21,80,20000,0,583,126,,227,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,22,90,22500,0,673,130,,234,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,23,100,25000,0,773,134,,241,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,24,110,27500,0,883,138,,249,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,25,120,30000,0,1003,142,,256,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,26,130,32500,0,1133,146,,263,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,27,140,35000,0,1273,150,,271,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,28,150,37500,0,1423,154,,278,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,29,160,40000,0,1583,158,,285,,Применение заклинания повышает защиту на Х на Y секунд
,,,,,30,175,45000,0,1758,163,,293,,Применение заклинания повышает защиту на Х% на Y секунд
"Броня 1, тир 3",ARMOR,20,3,3,1,,,,,,,165,55,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
,,,,,2,1,9000,0,1,,,173,58,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
,,,,,3,2,10000,0,3,,,181,60,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
,,,,,4,4,11000,0,7,,,189,63,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
,,,,,5,6,12000,0,13,,,197,66,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
,,,,,6,8,13000,0,21,,,205,68,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
,,,,,7,10,14000,0,31,,,213,71,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
,,,,,8,12,15000,0,43,,,221,74,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
,,,,,9,14,16000,0,57,,,228,76,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
,,,,,10,16,17500,0,73,,,236,79,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
,,,,,11,20,20000,0,93,,,244,81,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
,,,,,12,25,22500,0,118,,,252,84,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
,,,,,13,30,25000,0,148,,,260,87,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
,,,,,14,35,27500,0,183,,,268,89,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
,,,,,15,40,30000,0,223,,,276,92,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
,,,,,16,45,32500,0,268,,,284,95,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
,,,,,17,50,35000,0,318,,,291,97,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
,,,,,18,55,37500,0,373,,,299,100,"При получении урона получает бафф ""-Х% входящий урон"" на Y секунд. Кулдаун"
